country,source,title,pub_date,description,url,language
United Kingdom,BBC News,Giant's Causeway visitors urged not to jam coins into iconic rocks,Unknown,The coins are damaging the renowned rock formations of one of Northern Ireland's most famous sites.,https://www.bbc.com/news/articles/c14kn1ekvymo,en
United Kingdom,BBC News,'Football is a source of comradeship' - Liverpool boss grateful for support,Unknown,"Liverpool boss Arne Slot thanks ""the wider football community"" for its support as he is named manager of the year and Premier League manager of the year at the LMA awards.",https://www.bbc.com/sport/football/articles/cz70pnp9gzzo,en
United Kingdom,BBC News,What eyewitness videos tell us about the Liverpool crash,Unknown,BBC Verify examines videos of the incident in which a car drove into a crowd during Liverpool FC's parade on Monday.,https://www.bbc.com/news/videos/c9dq6jj0l9do,en
United Kingdom,BBC News,What do we know so far?,Unknown,A 53-year-old white British man has been arrested after dozens of people were hit by a car.,https://www.bbc.com/news/articles/ce8209lzzp4o,en
United Kingdom,BBC News,Comedian's show axed after Liverpool parade joke,Unknown,"Andrew Lawrence's social media post prompts an angry response, with one user calling it ""horrific"".",https://www.bbc.com/news/articles/cq69zdpr0r5o,en
United Kingdom,BBC News,How 'laughing gas' became a deadly - but legal - American addiction,Unknown,"Nitrous oxide overdoses have increased in the US, but the substance is still legal as a ""culinary product"".",https://www.bbc.com/news/articles/cly36n88n56o,en
United Kingdom,BBC News,Hopes of parenthood crushed after IVF embryos destroyed in Israel's Gaza offensive,Unknown,"Couples in Gaza using IVF to help them conceive  left with nothing  after 4,000 embryos at an IVF clinic were destroyed.",https://www.bbc.com/news/articles/c15npnzpd08o,en
United Kingdom,BBC News,How can Raducanu stun the 'Queen of Clay'?,Unknown,Emma Raducanu has never beaten Iga Swiatek. How does she go about shocking the 'Queen of Clay' in the French Open second round?,https://www.bbc.com/sport/tennis/articles/c5y6dm133evo,en
United Kingdom,BBC News,The tiny island where puffins are thriving despite global decline,Unknown,A record number of puffins have been recorded on Skomer Island despite the birds being at risk of extinction.,https://www.bbc.com/news/articles/c0mrxwpevxmo,en
United Kingdom,BBC News,'Our homes were taken for a road that was never built',Unknown,"Three families speak of the ""utter hell"" of losing their homes to a road scheme that was cancelled.",https://www.bbc.com/news/articles/cly8yl2rv0jo,en
United Kingdom,BBC News,Mayor backs report's call for cannabis law reform,Unknown,The London Drugs Commission is calling for possession of cannabis for personal use to be decriminalised.,https://www.bbc.com/news/articles/c4g6www949zo,en
United Kingdom,BBC News,Writers denounce Israel's 'genocidal' actions in Gaza and call for ceasefire,Unknown,"Zadie Smith and Ian McEwan are among 380 writers and groups to call the war a ""genocide.""",https://www.bbc.com/news/articles/c0qgpve3qzgo,en
United Kingdom,BBC News,Slovakia approves sale of brown bear meat to public,Unknown,Brown bears are a protected EU species but the government has launched a cull after recent attacks.,https://www.bbc.com/news/articles/c4gkpy3x3ndo,en
United Kingdom,BBC News,Rules that force small housebuilders to improve wildlife habitats to be reviewed,Unknown,Ministers are considering how costs can be reduced for small firms to help them build more homes.,https://www.bbc.com/news/articles/cgr54q5yzkzo,en
United Kingdom,BBC News,Senior police raise concern over early prisoner release plans,Unknown,Senior officers sent a letter to the Ministry of Justice before the announcement on sentencing changes last week.,https://www.bbc.com/news/articles/c8e6y8ryg1eo,en
United Kingdom,BBC News,Texas governor signs online safety law in blow to Apple and Google,Unknown,"Under the new law, minors will need parental approval before they can download apps or make in-app purchases.",https://www.bbc.com/news/articles/cz63ny02d8po,en
United Kingdom,BBC News,Temu's Chinese owner sees profits plunge as trade war bites,Unknown,US-listed shares of PDD Holdings fell over 13% on Tuesday as the firm said its profit had almost halved.,https://www.bbc.com/news/articles/cy8dvywypp2o,en
United Kingdom,BBC News,BBC News app,Unknown,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994,en
United Kingdom,BBC News,Why did Trump ambush the South African president?,Unknown,Cyril Ramaphosa kept his cool despite the onslaught,https://www.bbc.co.uk/sounds/play/m002cf4v,en
United Kingdom,BBC News,The Newscast Summer Tour,Unknown,"Live from Hay Festival with Marcus Brigstocke, Anne Applebaum and David Spiegelhalter.",https://www.bbc.co.uk/sounds/play/p0ldk427,en
United Kingdom,BBC News,Zubimendi set for medical before  51m Arsenal move,Unknown,Real Sociedad midfielder Martin Zubimendi is set to have a medical before completing a  51m switch to Arsenal.,https://www.bbc.com/sport/football/articles/c071mlpjxxko,en
United Kingdom,BBC News,How Antony became a 'hero in Betis' after Man Utd sadness,Unknown,"How Antony has rebooted his career on loan at Real Betis from Manchester United, helping the Spanish side to the Conference League final.",https://www.bbc.com/sport/football/articles/clyg6x0rjdeo,en
United Kingdom,BBC News,Arteta's Arsenal have underachieved - Henry,Unknown,Former Arsenal captain Thierry Henry says the club have underachieved under manager Mikel Arteta in the past three years.,https://www.bbc.com/sport/football/articles/cqj7wklgw7no,en
United Kingdom,BBC News,Bath's Underhill to miss Premiership play-offs with ban,Unknown,Sam Underhill will miss rest of Bath's season after collision with Lyon's Davit Niniashvili during European Challenge Cup final victory.,https://www.bbc.com/sport/rugby-union/articles/c39x7jnzmppo,en
United States,CNN,Trump pleads not guilty to 34 felony counts,Unknown,No Description,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,en
United States,CNN,Haberman reveals why Trump attacked judge and his family in speech,Unknown,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,en
United States,CNN,What to know about the Trump indictment on the eve of his court appearance,Unknown,No Description,https://www.cnn.com/collections/intl-trump-040223/,en
United States,CNN,READ: Trump indictment related to hush money payment,Unknown,No Description,https://cnn.it/411KYN7,en
United States,CNN,Russian authorities detain suspect over St. Petersburg cafe blast,Unknown,No Description,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,en
United States,CNN,Video shows moment of deadly explosion at cafe in Russia,Unknown,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,en
United States,CNN,"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",Unknown,No Description,https://www.cnn.com/collections/intl-ukraine-030423/,en
United States,CNN,Suspected Chinese spy balloon was able to transmit information back to Beijing,Unknown,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,en
United States,CNN,Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,Unknown,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,en
United States,CNN,"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line",Unknown,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,en
United States,CNN,The four astronauts NASA picked for the first crewed moon mission in 50 years,Unknown,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,en
United States,CNN,French minister under fire for Playboy magazine cover,Unknown,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,en
United States,CNN,Why did Finland's PM lose? Reporter explains the key issue voters cared about,Unknown,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,en
United States,CNN,Britain's pound is beating every other major currency this year,Unknown,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,en
United States,CNN,Finland's Prime Minister Sanna Marin concedes election,Unknown,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,en
United States,CNN,Hundreds of millions at risk from Chinese shopping app malware,Unknown,No Description,https://cnn.it/40OSomK,en
United States,CNN,The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,Unknown,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",https://www.cnn.com/style/article/beauty-skincare-climate/index.html,en
United States,CNN,A new approach to a Covid-19 nasal vaccine shows early promise,Unknown,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,en
