country,source,total_articles,historical_data
France,France 24,24,Varies by feed (up to 1 year where available)
Germany,Deutsche Welle,12,Varies by feed (up to 1 year where available)
Japan,NHK,7,Varies by feed (up to 1 year where available)
Pakistan,Dawn,26,Varies by feed (up to 1 year where available)
Qatar,Al Jazeera,25,Varies by feed (up to 1 year where available)
Russia,TASS,100,Varies by feed (up to 1 year where available)
United Kingdom,BBC News,35,Varies by feed (up to 1 year where available)
United States,CNN,50,Varies by feed (up to 1 year where available)
